tamil_text,label
நான் இன்று மிகுந்த மகிழ்ச்சியுடன் உள்ளேன்,positive
இந்த பொருள் விலை மிக அதிகமாக உள்ளது,negative
நான் இன்று மிகுந்த மகிழ்ச்சியுடன் உள்ளேன்,positive
அவளின் நடிப்பு மிக மோசமானதாக இருந்தது,negative
இது எதையும் மாற்ற முடியாது என்ற நிலைமை,sarcasm
நான் இதை எவ்விதமாகவே விரும்பவில்லை,negative
நான் இதை எவ்விதமாகவே விரும்பவில்லை,negative
எந்த மாற்றமும் அறியப்படவில்லை,neutral
இந்த அற்புதமான சேவை எப்போதும் கிடைக்க முடியாது,positive
இது பொதுவான அனுபவமாகவே இருந்தது,neutral
இது எதையும் மாற்ற முடியாது என்ற நிலைமை,sarcasm
அவளின் நடிப்பு மிக மோசமானதாக இருந்தது,negative
அருமையான சேவை,positive
இது எதையும் மாற்ற முடியாது என்ற நிலைமை,sarcasm
இந்த திரைப்படம் மிகச் சிறப்பாக இருந்தது,positive
எந்த மாற்றமும் அறியப்படவில்லை,neutral
நாட்டின் நிலைமை மிக மோசமாக உள்ளது,negative
உன் சொல்றது பெரிதாகவே இருக்கிறது என்று தோன்றுகிறது,sarcasm
என் பேச்சில் சற்று அறிவு உண்டு,sarcasm
நீ செய்த வேலை மிகச்சிறப்பாக உள்ளது,sarcasm
நாட்டின் நிலைமை மிக மோசமாக உள்ளது,negative
நீங்களது செயல்பாடு மிக நன்றாகவே உள்ளது,sarcasm
எந்த மாற்றமும் அறியப்படவில்லை,neutral
நீ பேசினால் அறிவு சுழன்று புறப்படும்,sarcasm
அருமையான சேவை,positive
நான் இன்று மிகுந்த மகிழ்ச்சியுடன் உள்ளேன்,positive
நீ பேசினால் அறிவு சுழன்று புறப்படும்,sarcasm
நீங்களது செயல்பாடு மிக நன்றாகவே உள்ளது,sarcasm
நீங்களது செயல்பாடு மிக நன்றாகவே உள்ளது,sarcasm
பொருள் தரம் பொதுவாகவே குறைவாக உள்ளது,neutral
பொருள் தரம் பொதுவாகவே குறைவாக உள்ளது,neutral
இந்த திரைப்படம் மிகச் சிறப்பாக இருந்தது,positive
இந்த அற்புதமான சேவை எப்போதும் கிடைக்க முடியாது,positive
என் பேச்சில் சற்று அறிவு உண்டு,sarcasm
என் பேச்சில் சற்று அறிவு உண்டு,sarcasm
இந்த நிகழ்ச்சி மிக்க சீர்மையானது,positive
நீங்களது செயல்பாடு மிக நன்றாகவே உள்ளது,sarcasm
இந்த திரைப்படம் மிகச் சிறப்பாக இருந்தது,positive
இந்த அனுபவம் மிக மோசமானது,negative
இந்த அனுபவம் மிக மோசமானது,negative
இது பொதுவான அனுபவமாகவே இருந்தது,neutral
அவள் என்னை மிகவும் ஏமாற்றினாள்,negative
நீங்களது செயல்பாடு மிக நன்றாகவே உள்ளது,sarcasm
இது பொதுவான அனுபவமாகவே இருந்தது,neutral
அது சராசரியாகவே இருந்தது,neutral
நீ பேசினால் அறிவு சுழன்று புறப்படும்,sarcasm
நீ செய்த வேலை மிகச்சிறப்பாக உள்ளது,sarcasm
நான் உண்மையிலேயே இந்த உணவை மகிழ்ச்சியுடன் ரசித்தேன்,positive
நாட்டின் நிலைமை மிக மோசமாக உள்ளது,negative
நாட்டின் நிலைமை மிக மோசமாக உள்ளது,negative
அவள் என்னை மிகவும் ஏமாற்றினாள்,negative
இது எதையும் மாற்ற முடியாது என்ற நிலைமை,sarcasm
இந்த அற்புதமான சேவை எப்போதும் கிடைக்க முடியாது,positive
நான் உண்மையிலேயே இந்த உணவை மகிழ்ச்சியுடன் ரசித்தேன்,positive
நான் இன்று மிகுந்த மகிழ்ச்சியுடன் உள்ளேன்,positive
உன் சொல்றது பெரிதாகவே இருக்கிறது என்று தோன்றுகிறது,sarcasm
இந்த அனுபவம் மிக மோசமானது,negative
நாட்டின் நிலைமை மிக மோசமாக உள்ளது,negative
உன் சொல்றது பெரிதாகவே இருக்கிறது என்று தோன்றுகிறது,sarcasm
இந்த நிகழ்ச்சி மிக்க சீர்மையானது,positive
நான் இதற்கு பெரிதாக ஆர்வமாக இல்லை,neutral
இந்த அற்புதமான சேவை எப்போதும் கிடைக்க முடியாது,positive
அருமையான சேவை,positive
அது மிக மோசமாக இருந்தது,negative
உணவு மிகவும் சராசரியானது,neutral
நீ பேசினால் அறிவு சுழன்று புறப்படும்,sarcasm
நான் இன்று மிகுந்த மகிழ்ச்சியுடன் உள்ளேன்,positive
உணவு மிகவும் சராசரியானது,neutral
இந்த நிகழ்ச்சி மிக்க சீர்மையானது,positive
இந்த நிகழ்ச்சி மிக்க சீர்மையானது,positive
இந்த அற்புதமான சேவை எப்போதும் கிடைக்க முடியாது,positive
நான் இதை எவ்விதமாகவே விரும்பவில்லை,negative
இந்த பொருள் விலை மிக அதிகமாக உள்ளது,negative
அவளின் நடிப்பு மிக மோசமானதாக இருந்தது,negative
உன் சொல்றது பெரிதாகவே இருக்கிறது என்று தோன்றுகிறது,sarcasm
நான் இதற்கு பெரிதாக ஆர்வமாக இல்லை,neutral
இது பொதுவான அனுபவமாகவே இருந்தது,neutral
நான் உண்மையிலேயே இந்த உணவை மகிழ்ச்சியுடன் ரசித்தேன்,positive
நான் இன்று மிகுந்த மகிழ்ச்சியுடன் உள்ளேன்,positive
இந்த திரைப்படம் மிகச் சிறப்பாக இருந்தது,positive
